ID;traveller_ID;destination_ID;travelFrom;travelTo;notes
l0000001-0000-4000-a000-000000000001;c1c1c1c1-0001-4111-8111-111111111101;d0000001-0000-4000-a000-000000000001;2025-01-10;2025-01-17;Business conference at Paris HQ
l0000001-0000-4000-a000-000000000002;c1c1c1c1-0001-4111-8111-111111111101;d0000001-0000-4000-a000-000000000002;2025-03-05;2025-03-12;Regional sales summit in Bangkok
l0000001-0000-4000-a000-000000000003;c1c1c1c1-0002-4111-8111-111111111102;d0000001-0000-4000-a000-000000000003;2025-02-15;2025-02-22;Team offsite retreat in Bali
l0000001-0000-4000-a000-000000000004;c1c1c1c1-0002-4111-8111-111111111102;d0000001-0000-4000-a000-000000000007;2025-04-10;2025-04-15;Partner onboarding visit in Singapore
l0000001-0000-4000-a000-000000000005;c1c1c1c1-0003-4111-8111-111111111103;d0000001-0000-4000-a000-000000000005;2025-01-20;2025-01-25;Executive leadership summit in New York
l0000001-0000-4000-a000-000000000006;c1c1c1c1-0003-4111-8111-111111111103;d0000001-0000-4000-a000-000000000006;2025-03-15;2025-03-22;APAC strategy meeting in Sydney
l0000001-0000-4000-a000-000000000007;c1c1c1c1-0004-4111-8111-111111111104;d0000001-0000-4000-a000-000000000009;2025-02-01;2025-02-08;Technology expo in Tokyo
l0000001-0000-4000-a000-000000000008;c1c1c1c1-0004-4111-8111-111111111104;d0000001-0000-4000-a000-000000000007;2025-04-20;2025-04-25;Customer visit in Singapore
l0000001-0000-4000-a000-000000000009;c1c1c1c1-0005-4111-8111-111111111105;d0000001-0000-4000-a000-000000000008;2024-12-10;2024-12-15;Annual review meeting in Zurich
l0000001-0000-4000-a000-000000000010;c1c1c1c1-0006-4111-8111-111111111106;d0000001-0000-4000-a000-000000000001;2025-03-01;2025-03-08;Fashion week coverage in Paris
l0000001-0000-4000-a000-000000000011;c1c1c1c1-0006-4111-8111-111111111106;d0000001-0000-4000-a000-000000000011;2025-05-01;2025-05-08;Heritage tourism project in Rome
l0000001-0000-4000-a000-000000000012;c1c1c1c1-0007-4111-8111-111111111107;d0000001-0000-4000-a000-000000000009;2025-01-08;2025-01-14;Digital innovation summit in Tokyo
l0000001-0000-4000-a000-000000000013;c1c1c1c1-0007-4111-8111-111111111107;d0000001-0000-4000-a000-000000000012;2025-04-18;2025-04-25;Supply chain conference in Shanghai
l0000001-0000-4000-a000-000000000014;c1c1c1c1-0008-4111-8111-111111111108;d0000001-0000-4000-a000-000000000012;2025-02-20;2025-02-27;Regional operations review in Shanghai
l0000001-0000-4000-a000-000000000015;c1c1c1c1-0009-4111-8111-111111111109;d0000001-0000-4000-a000-000000000010;2024-10-15;2024-10-20;Energy sector forum in Dubai
